name,association,birth date,height,age,age2
Abdullah Otayf,KSA,1992/8/3,177,25,25.86
Taisir Al-Jassim,KSA,1984/7/25,169,33,33.89
Hussain Al-Mogahwi,KSA,1988/3/24,174,30,30.22
Salman Al-Faraj,KSA,1989/8/1,179,28,28.87
Mohamed Kanno,KSA,1994/9/22,192,23,23.73
Hattan Bahebri,KSA,1992/7/16,170,25,25.91
Salem Al-Dawsari,KSA,1991/8/19,174,26,26.82
Fahad Al-Muwallad,KSA,1994/9/14,168,23,23.75
Yahya Al-Shehri,KSA,1990/6/26,165,27,27.97
Muhannad Asiri,KSA,1986/10/14,185,31,31.67
Mohammad Al-Sahlawi,KSA,1987/1/10,179,31,31.42
AVERAGE,KSA,1989/9/20,177.65,28.13,28.73
