name,association,age,height,birth date,age2
Motaz Hawsawi,KSA,26,179,1992/2/17,26.32
Saeed Al-Mowalad,KSA,27,173,1991/3/9,27.27
Mohammed Al-Burayk,KSA,25,173,1992/9/15,25.75
Mohammed Jahfali,KSA,27,185,1990/10/24,27.64
Ali Al-Bulaihi,KSA,28,185,1989/11/21,28.56
Abdullah Al-Khaibri,KSA,21,178,1996/8/16,21.83
Abdulmalek Al-Khaibri,KSA,32,175,1986/3/13,32.25
Abdullah Otayf,KSA,25,177,1992/8/3,25.86
Taisir Al-Jassim,KSA,33,170,1984/7/25,33.89
Hussain Al-Mogahwi,KSA,30,173,1988/1/28,30.38
Salman Al-Faraj,KSA,28,180,1989/8/1,28.87
Nawaf Al-Abed,KSA,28,170,1990/1/26,28.38
Mohamed Kanno,KSA,23,191,1994/9/22,23.73
Hattan Bahebri,KSA,25,168,1992/7/16,25.91
Mohammed Al-Kwikbi,KSA,23,167,1994/8/8,23.85
Salem Al-Dawsari,KSA,26,171,1991/8/19,26.82
Fahad Al-Muwallad,KSA,23,167,1994/9/14,23.75
Yahya Al-Shehri,KSA,27,162,1990/6/26,27.97
Muhannad Asiri,KSA,31,187,1986/10/14,31.67
Mohammad Al-Sahlawi,KSA,31,180,1987/1/10,31.42
AVERAGE,KSA,27.85,177.11,1989/10/18,28.65
